微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
OuGf3vaUg,"转发理由:#微博辟谣# 西宁市公安局召开新闻发布会，通报西宁公安机关开展打击整治网络谣言专项行动情况  
原始用户: 夏都西宁
转发内容: #西宁分享# 【西宁最新通报：关停违法违规账号10个】#夏都西宁# 8月29日，西宁市公安局召开新闻发布会，通报西宁公安机关开展打击整治网络谣言专项行动情况，重拳打击造谣传谣违法犯罪行为，营造风清气正的网络空间环境等方面取得的成效。西宁市公安局直属支队副支队长王斌介绍，随着互联网技术飞速发展和各类新技术新应用快速普及，互联网平台在成为网民构建网络公共话语空间的同时，也成为别有用心之人捏造、传播谣言的温床。2023年12月起，在公安部、省公安厅统一部署下，西宁公安机关启动打击整治网络谣言专项行动，经侦、治安、刑警等12个警种参与。依托“净网2024”专项行动，西宁公安将网络谣言作为重点打击整治的网络乱象之一，开展涉警、涉经济金融房地产、涉民生领域等网络谣言打击处置，针对易造谣事件加强网上巡查发现力度，紧盯造谣传谣、炒作滋事等违法行为，第一时间处置相关违法犯罪行为。专项行动开展以来，共侦办谣言类案件11起，其中刑事案件2起、行政案件9起。批评教育13人，通报处置外地谣言线索24条，对发布谣言的违法犯罪行为人进行有力打击，有效遏制了谣言多发、频发态势。西宁公安聚焦“网络水军”“网络谣言”“网络暴力”等突出网络乱象，督促指导互联网平台企业健全完善信息发布审核制度，针对社交媒体、直播和短视频等重点平台应用开展互联网安全监督检查和行政执法。年初至今，巡查本地网站3000余家次，依法依规整治网站平台162家次，下发限期整改通知书及公安提醒函117份，依法行政警告48家，对已认定的网络谣言督促清除处置35条，关停违法违规账号10个，引导互联网服务提供者为网民提供积极有序、健康向上的网络环境。坚持打击整治与宣传教育一体推进，开展打击整治网络谣言普法宣传工作，深入校园、社区、企业开展打谣防谣宣传“三进”活动，开展以案说法，号召群众自觉抵制网络谣言。针对本地“MCN”机构、重点网红大V群体，开展普法宣传和教育提醒，集中约谈，宣讲相关法律法规，教育引导网红大V遵纪守法、抵制谣言，自觉规范网络行为。发挥网警公开巡查执法账号作用，向网民提供举报渠道，发布宣传文章、视频，适时曝光打击整治网络谣言、“网络水军”以及网站平台拒不履行主体责任和义务的典型案例。 原图 ",,无,https://wx2.sinaimg.cn/large/e757ac7aly1ht5wjimaiwj20rs0rswzz.jpg,False,无,无,2024-08-30 17:27,无,0,0,0
OuG9vtAxL,"转发理由:#微博辟谣#【#今日辟谣#（2024年8月30日）】  
原始用户: 中国互联网联合辟谣平台
转发内容: #联合辟谣##微博辟谣#【#今日辟谣#（2024年8月30日）】北京石景山消防救援支队招聘文职？二酯油减肥降血脂，比普通油好？警惕以物品租借和回收为名的高利贷陷阱！详戳↓↓↓@中央网信办举报中心    今日辟谣（2024年8月30日）  ",,无,无,False,无,无,2024-08-30 17:13,无,0,0,0
OuG3Pf01d,"转发理由:#微博辟谣# 一线辟谣这个真的不是消防车着火了！只是错位拍摄！  
原始用户: 天津消防
转发内容: 【#一线辟谣这个真的不是消防车着火了#】天津蓟州区，半挂车行驶途中突然起火，火势凶猛吞噬了整个车头，万幸路人发现后报警求助。#消防蓝朋友#到场后立即架设水枪进行扑救，待火势被完全扑灭后，车头已被烧成空壳。PS：真的不是消防车着火了！只是错位拍摄！ 天津消防的微博视频  ",,无,无,False,无,无,2024-08-30 16:59,无,0,0,0
OuFPB6TUm,#微博辟谣#上海发生持刀伤人事件？网约车司机猥亵醉酒女乘客？浏览境外色情网站被网警罚款？本周有没有你相信了的谣言呢？@微博辟谣@捉谣记 联合发布本周谣言榜单。遏制谣言传播空间，净化网络生态环境。快来戳图查看吧。#捉谣记#   原图 ,,https://wx4.sinaimg.cn/large/6f3f16a9ly1ht5zc5tmyzj20ku592e81.jpg,无,True,无,无,2024-08-30 16:24,无,59,5,13
OuFz8j3GH,"转发理由:#微博辟谣#曹县公安发布2起网络谣言、网络暴力典型案例   
原始用户: 曹县网警
转发内容: 《曹县公安发布2起网络谣言、网络暴力典型案例》  曹县公安发布2起网络谣言、网络暴力 典型案例  ",,无,无,False,无,无,2024-08-30 15:44,无,0,0,0
OuFdB1Gao,"转发理由:#微博辟谣# 2网民冒充当事人蹭热点被抓获  
原始用户: 中国新闻网
转发内容: 【#2网民冒充当事人蹭热点被抓获#】#网民冒充当事人蹭热点被行拘# 8月23日，广西河池市都安县公安民警李燮营救落水女孩英勇牺牲后，广大网友纷纷表示致敬缅怀，但个别网民突破法律底线，冒充被救女孩身份编造虚假信息蹭热点引流量、恶意丑化牺牲民警形象，引起网友们的愤慨和积极举报。公安机关对此高度重视、紧密协作，经连日工作，先后在广西南宁市隆安县抓获违法行为人乃某业（男，19岁，快手用户昵称“纯纯鱼冻”），在辽宁沈阳市抓获违法嫌疑人张某（男，16岁，抖音用户昵称“纯纯鱼冻”）。   目前，乃某业被警方依法处以行政拘留13日；张某所涉案件在进一步办理中；其他案件线索在继续调查中。（河池网警） 原图 ",,无,https://wx1.sinaimg.cn/large/001WLsZ7ly1ht5szx9nj1j60kc0eeqcv02.jpg,False,无,无,2024-08-30 14:51,无,0,2,0
OuEFFkCZR,"转发理由:#微博辟谣# 曹县公安发布2起网络谣言和网络暴力典型案例  
原始用户: 曹县网警
转发内容: 《曹县公安发布2起网络谣言和网络暴力典型案例》  曹县公安发布2起网络谣言和网络暴力典型案例  ",,无,无,False,无,无,2024-08-30 13:27,无,1,0,0
OuEyyte9o,"转发理由:#微博辟谣# 二酯油能减肥又能降血脂？并非如此  
原始用户: 科学辟谣
转发内容: #微博辟谣#【二酯油能减肥又能降血脂？并非如此】二酯油和普通食用油最大的不同，其实就是这种油的甘油二脂比例更高，而甘油三酯的比例大大降低。关于二酯油的降血脂、减肥等健康益处，目前的科学证据依然不足。@微博辟谣  二酯油能减肥又能降血脂？真有那么好吗？  ",,无,无,False,无,无,2024-08-30 13:10,无,1,1,0
OuEtgfa3G,"转发理由:#微博辟谣# 湖北武汉一中学19天建成教学楼即将投入使用？当地教育局：“19天建成”不属实，是板房，会检测后使用  
原始用户: 纵览新闻
转发内容: 【湖北武汉一中学19天建成教学楼即将投入使用？当地教育局：“19天建成”不属实，是板房，会检测后使用】#官方回应19天建成教学楼将投入使用#近日，有网友发文称，武汉市南湖中学北校区新建教学楼仅用19天完工，不少家长质疑教学楼未完成验收，担心新装修的教室存在有害物质，影响学生安全和健康。8月29日，纵览新闻（报料微信：ZLXWBL2023）记者联系到武汉市武昌区教育局，工作人员表示，19天建成教学楼的说法不属实，教育局已经成立了专班，对此事正在调查处理中。详情→http://t.cn/A6R6h3uH http://t.cn/A6R6hdNw ",,无,无,False,无,无,2024-08-30 12:57,无,0,3,0
OuEoP90QB,"转发理由:#微博辟谣# 伪造聊天记录，诋毁他人名誉，罚！  
原始用户: 云南网警
转发内容: 【伪造聊天记录，诋毁他人名誉，罚！】 近日，普洱网警接辖区群众张女士（化名）报案称：“有人通过捏造不实聊天记录，对其进行造谣诽谤。”接警后，普洱网警迅速组织力量开展调查取证工作经查，嫌疑人李某某（化名）因矛盾心生怨念，为达到诋毁张女士名誉的目的，自2023年5月以来，自导自演分饰“张女士”与“张女士网友”两个角色虚构聊天记录，对张女士进行造谣诽谤。嫌疑人李某某的行为已干扰他人正常生活，情节较重。根据《中华人民共和国治安管理处罚法》第四十二条第（五）项之规定，公安机关依法对李某某给予行政处罚。http://t.cn/A6RiBMej  ",,无,无,False,无,无,2024-08-30 12:46,无,1,2,0
OuEkqdynL,"转发理由:#微博辟谣# 不信谣，不传谣，传谣必被抓！  
原始用户: 平安常州
转发内容: 【不信谣，不传谣，传谣必被抓！】近日，钟楼公安分局南大街派出所发现一条不实信息在微信社群中蔓延，民警第一时间控制了谣言的传播，并依法将谣言传播者传唤至派出所，对其进行深入的警告与教育，强调网络并非法外之地，提醒公众应自觉抵制谣言，共同维护网络空间的清朗与和谐。@平安常州 http://t.cn/A6R6ru9G ",,无,无,False,无,无,2024-08-30 12:35,无,0,1,0
OuEdebXL3,"转发理由:#微博辟谣# 为博眼球赚流量，编造谣言被拘留！  
原始用户: 潍坊市公安局潍城分局
转发内容: 我发表了头条文章:《【以案释法】为博眼球赚流量，编造谣言被拘留！》 【以案释法】为博眼球赚流量，编造谣言被拘留！  ",,无,无,False,无,无,2024-08-30 12:17,无,2,0,0
OuE619qmp,"转发理由:#微博辟谣# 西安警方通报3起网络谣言典型案例  
原始用户: 西安网警
转发内容: 发布了头条文章：《夏季行动 | 西安警方通报3起网络谣言典型案例》  夏季行动 | 西安警方通报3起网络谣言典型案例  ",,无,无,False,无,无,2024-08-30 11:59,无,0,1,0
OuDYzi75N,"转发理由:#微博辟谣# 蒸湘公安查处多起散布网络谣言案件  
原始用户: 衡阳蒸湘公安
转发内容: 《蒸湘公安查处多起散布网络谣言案件》 蒸湘公安查处多起散布网络谣言案件  ",,无,无,False,无,无,2024-08-30 11:41,无,3,0,1
OuDPSf3JD,"转发理由:#微博辟谣# 内蒙古博物院严正声明！  
原始用户: 内蒙古互联网举报中心
转发内容: 内蒙古博物院严正声明！ #联合辟谣# #微博辟谣#  内蒙古博物院严正声明！  ",,无,无,False,无,无,2024-08-30 11:20,无,1,2,0
OuDBdu1E9,"转发理由:#微博辟谣# 官方辟谣青岛打人女子是城管局人员  
原始用户: 青蜂侠Bee
转发内容: #官方辟谣青岛打人女子是城管局人员# 【网传青岛逆行插队并打人女子是崂山城市管理局工作人员 官方辟谣】8月30日，网传青岛逆行插队追尾并打人的女子为崂山区城市管理局城市运行服务中心副主任。针对此事，青蜂侠从崂山区城市管理局工作人员处获悉，该消息为假消息，已报警处理。 青蜂侠Bee的微博视频  ",,无,无,False,无,无,2024-08-30 10:43,无,1,2,0
OuxdH3HaI,"转发理由:#微博辟谣#【熊猫斩谣（2024年8月29日）】  
原始用户: 四川举报辟谣
转发内容: #四川云辟谣# 【熊猫斩谣（2024年8月29日）】#微博辟谣#资阳有人网赌输钱跳楼？红眼病，看一眼就会传染吗？代买金饰赚跑腿费？当心别成为洗钱帮凶！今天有没有你相信的谣言？快来戳图查看吧！希望大家对未经核实的信息，不轻信、不盲从、不发布、不传播、不评论。   熊猫斩谣（2024年8月29日）  ",,无,无,False,无,无,2024-08-29 18:29,微博网页版,0,0,0
Oux8T8Y2M,"转发理由:#微博辟谣# 安阳有人贩子出没?假的！  
原始用户: 平安安阳
转发内容: #打击网络谣言# 《安阳有人贩子出没?假的！》  安阳有人贩子出没?假的！  ",,无,无,False,无,无,2024-08-29 18:17,微博网页版,0,1,0
Oux3S22JI,"转发理由:#微博辟谣# 网民张某某在网络社交平台上发布三条不实谣言信息被平邑公安行政处罚  
原始用户: 平邑公安
转发内容: 【以案释法】网络不是法外之地！编造虚假信息被处罚按照公安部统一行动，平邑公安深入开展打击整治网络谣言专项行动，依法严厉打击整治网络谣言违法犯罪行为，全力营造风清气正的网络环境。近日，网民张某某在网络社交平台上发布三条不实谣言信息，严重扰乱社会秩序，造成不良社会影响。目前，已依法责令张某某删除相关谣言视频，并依法对张某某给予行政处罚。【法律依据】《中华人民共和国治安管理处罚法》第二十五条第（一）项：散布谣言，谎报险情、疫情、警情或者以其他方法故意扰乱公共秩序的，处五日以上十日以下拘留，可以并处五百元以下罚款；情节较轻的，处五日以下拘留或者五百元以下罚款。《中华人民共和国刑法》第二百九十一条之一第二款 编造、故意传播虚假信息罪编造虚假的险情、疫情、灾情、警情，在信息网络或者其他媒体上传播，或者明知是上述虚假信息，故意在信息网络或者其他媒体上传播，严重扰乱社会秩序的，处三年以下有期徒刑、拘役或者管制；造成严重后果的，处三年以上七年以下有期徒刑。平邑公安提醒：互联网不是法外之地，发布网络言论须严格遵守法律法规，平邑公安将依法严厉打击编造、传播、散布网络谣言。请大家知法守法，文明上网，理性发言，不造谣、不信谣、不传谣，共同营造风清气正、积极向上、健康有序的网络环境。 ",,无,无,False,无,无,2024-08-29 18:05,微博网页版,0,0,0
OuwWx0O83,"转发理由:#微博辟谣# 北京石景山消防救援支队开展文职招聘？假的，别信！  
原始用户: 北京网络举报
转发内容: #北京网络辟谣# 【北京石景山消防救援支队开展文职招聘？假的，别信！】近期，有人以我市石景山区消防救援支队的名义，对外发布招聘文职信息。经核实，相关信息属于虚假信息。石景山区消防救援支队发布声明表示，所有文职招聘录用工作均在其单位的统一组织下开展，近期未开展文职招聘工作，也从未授权其他任何中介机构或个人进行招聘活动。请求职者注意甄别、核实，勿轻信虚假信息而上当受骗。重要提示：互联网不是法外之地。请广大网友依法文明上网，不造谣、不信谣、不传谣，自觉抵制网络谣言，共同维护清朗健康网络环境！（来源：北京石景山消防微信公众号） 原图 ",,无,https://wx3.sinaimg.cn/large/008sHL2mly1ht4uytvl5yj30fv0kp0uj.jpg,False,无,无,2024-08-29 17:47,微博网页版,0,3,0
OuwSbvgfj,"转发理由:#微博辟谣# 注意！网传成都延期开学截图是假的  
原始用户: 看度新闻
转发内容: 【注意！#网传成都延期开学截图是假的#】8月29日，一张截图在成都多个家长群流传。经@看度新闻 多方求证核实，网传的这张截图是假的。#成都[地点]# 看度新闻的微博视频  ",,无,无,False,无,无,2024-08-29 17:36,微博网页版,1,2,0
OuwQ7gKYs,"转发理由:#微博辟谣#【#今日辟谣#（2024年8月29日）】  
原始用户: 中国互联网联合辟谣平台
转发内容: #联合辟谣##微博辟谣#【#今日辟谣#（2024年8月29日）】重庆红绿灯热燃了？拉萨市教育局发布辟谣公告！退休时可以一次性领取职业年金？这些朋友圈不能发，可能成为不法分子的帮凶详戳↓↓↓@中央网信办举报中心  今日辟谣（2024年8月29日）  ",,无,无,False,无,无,2024-08-29 17:31,微博网页版,0,0,0
