微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Nzvw6tj7i,"转发理由:#微博辟谣#西安地铁辟谣地面安装微型摄像头：是沉降监测设备，无摄像功能  
原始用户: 白鹿视频
转发内容: 【#西安地铁辟谣地面安装微型摄像头#：是沉降监测设备，无摄像功能】12月29日，陕西西安。近日，网友在乘坐地铁时注意到地上每隔几米就有一个黑色的微小物品，好奇是何物，有网友猜测此物为摄像头，并认为安装在地上十分不妥。29日，@西安地铁 在网友评论区回复称，台阶上的黑色物品是为配合车站出入口改造施工而设置的沉降监测设备，并无摄像功能。@白鹿视频 #西安[地点]# http://t.cn/A6l84SJy ",,无,无,False,无,无,2023-12-30 12:36,HUAWEI P40 Pro 5G,5,2,0
Nzv6vuGwJ,"转发理由:#微博辟谣#为博眼球利用AI写作软件编造“矿难致12人遇难”谣言 重庆一男子被警方控制  
原始用户: 北青即时
转发内容: 【为博眼球利用AI写作软件编造“矿难致12人遇难”谣言 重庆一男子被警方控制】#为博眼球利用AI编造谣言#12月29日，北京青年报记者获悉，12月28日，重庆奉节警方在日常工作中发现，网民王某成(男，51岁，无业)在某资讯平台利用AI写作软件编造发布一条“某地一煤矿发生事故已致12人遇难”的帖文，引发网民点赞关注，造成不良社会影响。经奉节警方调查，王某成为博人眼球、吸引流量，故意编造“矿难”谣言信息，造成不良社会影响。目前，王某成已被奉节警方控制，案件正在进一步侦办中。警方提醒：网络并非法外之地，对于在互联网上发布不实言论、扰乱社会秩序的，公安机关将坚决依法处理，对于造成恶劣影响、情节严重的，警方将依法追究其法律责任。广大网民应当自觉抵制不良信息，不轻信、不转发来源不明的信息，共同维护和谐网络环境。（文/北京青年报记者 戴幼卿） 原图 ",,无,https://wx2.sinaimg.cn/large/006rTaxqly1hlax3yrcywj30m80gotaj.jpg,False,无,无,2023-12-30 11:33,HUAWEI P40 Pro 5G,1,0,0
Nzv1IBZIg,"转发理由:#微博辟谣# 云南消防辟谣上门推销360元灭火器  
原始用户: 中国消防
转发内容: 【#云南消防辟谣上门推销360元灭火器#】近日，云南红河，两人以消防培训、检查等名义，沿街向商户销售高价消防器材。一商户察觉不对劲拨打119报警，@红河消防 赶赴，在一家饭店遇见了正滔滔不绝推销360元灭火器的二人，随后民警依法将其带回派出所进一步调查处理。#骗子上门推销商户反手就打了119# http://t.cn/A6lQpTJi ",,无,无,False,无,无,2023-12-30 11:21,HUAWEI P40 Pro 5G,0,0,1
NzuO0ucX2,"转发理由:#微博辟谣##正义辟谣台# 整理12月流传谣言  
原始用户: 正义网
转发内容: #微博辟谣#【12月#正义辟谣台#｜寒冬夜深风吹雪 谣言随风不复藏】过江隧道多车连环追尾？赈灾采购物资价格贵？高校澡堂漏电17名学生被电身亡？......2023年12月，社会热点事件多发，辟谣也要及时跟进。正义网“正义辟谣台”栏目整理了近期相关谣言，提醒广大网民擦亮双眼。不信谣、不传谣！  原图 ",,无,https://wx3.sinaimg.cn/large/710c95f3ly1hlaugsbiypj20m87zqu0y.jpg,False,无,无,2023-12-30 10:47,HUAWEI P40 Pro 5G,6,0,0
NzuJVtjum,"转发理由:#微博辟谣##四川云辟谣# 【熊猫斩谣（2023年12月29日）】  
原始用户: 四川辟谣
转发内容: #四川云辟谣# 【熊猫斩谣（2023年12月29日）】#微博辟谣#雅安市雨城区创业商城卖三无产品？喝了雅安市芦山县飞仙关的山泉水能生双胞胎？睡觉磨牙是因为肚子里有蛔虫？今天有没有你相信了的谣言？快来戳图查看吧！希望大家对未经核实的信息，不轻信、不盲从、不发布、不传播、不评论。 http://t.cn/A6lRGGkg ",,无,无,False,无,无,2023-12-30 10:37,HUAWEI P40 Pro 5G,2,0,0
Nzoixqom3,"转发理由:#微博辟谣#  网传甬金铁路东阳北站12月28日售票系谣言！  
原始用户: 东阳市互联网举报中心
转发内容: 【辟谣！网传甬金铁路东阳北站12月28日售票系谣言！】近日，陆续有网民在互联网平台发布称“东阳北站12月28日开始售票”。实际上，28日“铁路12306”（铁路官方APP）尚未显示东阳北站相关信息，“开始售票”系谣言！请广大市民不信谣、不传谣，共同维护健康有序清朗的网络空间。甬金铁路东阳北站具体开通时间请关注“东阳发布”官方账号。 [组图共2张] 原图 ",,无,"http://ww4.sinaimg.cn/large/008qSmfSgy1hl9nzsmbtjj30gg0zkacn.jpg,http://ww3.sinaimg.cn/large/008qSmfSgy1hl9o1uu4jij30u00ugjrw.jpg",False,无,无,2023-12-29 18:13,微博网页版,1,0,0
Nzo6wkl3I,"转发理由:#微博辟谣# 官方回应一小区多棵大树被砍：系2021年修枝排危砍伐  
原始用户: 封面新闻
转发内容: 【#官方回应一小区多棵大树被砍#：系2021年修枝排危砍伐】近日，有网友称，成都市金牛区一环路北一段一小区内，多棵二十米高的大树被砍成了几米高的树桩子，被砍树木包括香樟、梧桐等，引发热议。12月28日，当地社区工作人员称，树不是近期砍伐，是几年前修枝时砍的。同时，针对网上热议情况，金牛区应急办则回应，将组织相关管理单位开展绿化养护管理培训。http://t.cn/A6l8PUio [组图共4张] 原图 ",,无,"http://ww1.sinaimg.cn/large/001DitQply1hlap6islx6j60u0140q9x02.jpg,http://ww3.sinaimg.cn/large/001DitQply1hlap6ivjoij60u01407db02.jpg,http://ww4.sinaimg.cn/large/001DitQply1hlap6iwmoej60u00mi0ye02.jpg,http://ww4.sinaimg.cn/large/001DitQply1hlap6it5mpj60u0140dph02.jpg",False,无,无,2023-12-29 17:44,微博网页版,1,0,0
NznQt7o8W,"转发理由:#微博辟谣# 青岛航空回应巨额亏损传闻：信息虚假，公司财务数据尚未完成核算  
原始用户: 半岛都市报
转发内容: #青岛航空辟谣#【#青岛航空回应巨额亏损传闻# ：信息虚假，公司财务数据尚未完成核算】近日，有民航自媒体发文称，前三季度青岛航空亏损额超过13亿，是亏损最多的非上市航司。此外，有自媒体爆料，青岛航空存在不能按时支付工资的问题。对此，风口财经记者联系事件关联方求证。青岛航空宣传部门工作人员就上述情况一一回应，表示信息虚假，公司财务数据尚未完成核算，今年航班基本恢复至2019年水平。“数据绝对是虚假不真实的，目前公司财务数据尚未完成核算，数据需要等年底最终核算和第三方审计才能公布。”（风口财经） http://t.cn/A6l8ZG44 ",,无,无,False,无,无,2023-12-29 17:04,微博网页版,1,0,0
NznHhmyh7,"转发理由:#微博辟谣# 网红校长郑强将任福耀科技大学校长？校方：谣言  
原始用户: 极目新闻
转发内容: 【网红校长郑强将任福耀科技大学校长？校方：谣言】#郑强任福耀科技大学校长系谣言#近日，有网络消息称网红校长郑强将到福耀科技大学（筹）任校长。12月29日下午，福耀科技大学人事处工作人员回应极目新闻（报料邮箱：jimu1701@163.com）记者称，这一消息是谣言，目前该校校长是中国科学院梅宏院士，学校目前没有更换校长的计划。http://t.cn/A6l8hMsH http://t.cn/A6l8z7T3 ",,无,无,False,无,无,2023-12-29 16:42,微博网页版,3,0,0
NznxXnAGP,"转发理由:#微博辟谣# 盘点互联网2023关键词，“网络辟谣”名列其中  
原始用户: 中国互联网联合辟谣平台
转发内容: 【盘点互联网2023关键词，“网络辟谣”名列其中】2023年，微短剧行业的“暴利”狂风席卷互联网，政务新媒体集体“整活”破壁出圈，网络公益“微力量”汇聚“大能量”温暖人间，“老生常谈”的反诈、辟谣、信息安全等话题呈现新看点，网络戾气、自媒体违规乱象等得到“重拳”整治，良好的网络生态愈发清朗……2023年的互联网精彩纷呈，“网观”记录的点点滴滴汇成这篇年终大稿。详戳↓↓↓ http://t.cn/A6l872Cx ",,无,无,False,无,无,2023-12-29 16:19,微博网页版,1,0,0
Nznl9iRL2,#微博辟谣# 捐赠甘肃震区的羽绒服被倒卖？广州市将限制外卖配送？甘肃积石山地震中搜救犬救出 36 条人命后牺牲？本周有没有你相信了的谣言呢？@微博辟谣@捉谣记 联合发布本周谣言榜单。遏制谣言传播空间，净化网络生态环境。快来戳图查看吧。#捉谣记#  原图 ,,https://wx1.sinaimg.cn/large/6f3f16a9ly1hlapfnun2mj20ku65ab29.jpg,无,True,无,无,2023-12-29 15:47,iPhone 13 Pro,6,4,2
NzmqCgObK,"转发理由:#微博辟谣# 张家口公安机关打击整治网络谣言两起典型案例  
原始用户: 张家口网警
转发内容: 发布了头条文章：《张家口公安机关打击整治网络谣言两起典型案例》  张家口公安机关打击整治网络谣言两起典型案例  ",,无,无,False,无,无,2023-12-29 13:28,微博网页版,1,0,0
Nzmke77KE,"转发理由:#微博辟谣# 嫁接视频、恶意揣测，散布不实言论……河北省承德市公安局依法严厉打击整治网络谣言  
原始用户: 中国互联网联合辟谣平台
转发内容: #联合辟谣##微博辟谣#【嫁接视频、恶意揣测，散布不实言论……河北省承德市公安局依法严厉打击整治网络谣言】2023年以来，河北省承德市公安局重拳出击，依法查处一批网上故意制造传播谣言的违法行为。截至目前，承德市公安机关共依法打击处置网上谣言案件76起，刑事处罚3人，行政处罚25人，批评教育33人。现公布4起典型案例：①依法查处陈某某编造“江西胡鑫宇失踪事件”网络谣言案；②依法查处刘某某等4人编造“兴隆县出现人贩子”网络谣言案；③依法查处宋某某编造“平泉市发生重大交通事故”网络谣言案；④依法查处杲某某编造“jc封锁县城”网络谣言案。请广大网民依法、依规文明上网，不造谣、不信谣、不传谣，携手共建清朗网络空间。@承德公安网络发言人 原图 ",,无,https://wx3.sinaimg.cn/large/0077EbVbly1hlah8hrfigj30lf0c20t6.jpg,False,无,无,2023-12-29 13:12,微博网页版,1,0,0
Nzmfy2jHY,"转发理由:#微博辟谣# 波密一网民发布虚假信息，网警给予警告约谈  
原始用户: 波密公安
转发内容: 波密一网民发布虚假信息，网警给予警告约谈#林芝·波密[地点]# 波密公安的微博视频  ",,无,无,False,无,无,2023-12-29 13:01,微博网页版,1,0,0
Nzm3Ook1m,"转发理由:#微博辟谣# 石家庄网民张某某因编造谣言被依法查处  
原始用户: 石家庄网警
转发内容: 【石家庄网民张某某因编造谣言被依法查处！】#净网2023#  石家庄网民张某某因编造谣言被依法查处！  ",,无,无,False,无,无,2023-12-29 12:32,微博网页版,0,0,0
NzlVXmKkQ,"转发理由:#微博辟谣# 赈灾羽绒服现身展销会？多方澄清  
原始用户: 极目新闻
转发内容: 【#赈灾羽绒服现身展销会被质疑倒卖#，#多方澄清赈灾羽绒服现身展销会#】12月27日，有网友反映，某展销会上疑似出现了捐给甘肃震区的羽绒服包裹，怀疑赈灾物资被人倒卖。27日晚，极目新闻（报料邮箱：jimu1701@163.com）记者从多方了解到，并不是捐赠物资被倒卖，而是好心人准备将该批羽绒服寄往震区，等待邮寄时被人拍下，造成误会。上述物资的捐赠人杨女士介绍，自己是河南郑州人，在新疆阿克苏做生意。几天前，她听说甘肃发生了地震，就想着尽一点心，为震区做点什么，于是决定捐赠一批自己销售的羽绒服。25日，正在一个展销会上工作的她在写好收件地址和联系电话后，等待邮递员来取包裹，一个小伙子对着包裹录制了一段视频发到网上，结果被人转发后误认为是有人在倒卖捐赠物资。杨女士说，此事给她带来很大的困扰，她已向当地派出所报案，民警也已找到了拍视频的小伙子，让他删除了视频。“我也和小伙子通了电话，他向我道了歉。”杨女士说。视频拍摄者周先生告诉极目新闻记者，他当时拍下视频也是想为好人点赞，发布视频时也写了“为好人点赞”，结果还是被不少人误解。周先生说，在看到网友的误解留言后，他逐一进行了回复和解释。“我的初衷确实是想为好人好事点赞，没想到会给这位女士带来困扰，实在是太对不起了。”周先生说。http://t.cn/A6lYgGzY 原图 ",,无,https://wx4.sinaimg.cn/large/001SsZ0Mgy1hl8qqepoutj60xc1a440o02.jpg,False,无,无,2023-12-29 12:12,微博网页版,0,1,0
NzlQMd3d7,"转发理由:#微博辟谣##四川云辟谣# 【熊猫斩谣（2023年12月28日）】  
原始用户: 四川辟谣
转发内容: #四川云辟谣# 【熊猫斩谣（2023年12月28日）】#微博辟谣#头发经常洗会损害发质，还可能掉头发？家里双燃气灶的左边不能炒菜？编造网络谣言，达州一网民被行拘！今天有没有你相信了的谣言？快来戳图查看吧！希望大家对未经核实的信息，不轻信、不盲从、不发布、不传播、不评论。http://t.cn/A6lQiZvB  ",,无,无,False,无,无,2023-12-29 12:00,微博网页版,0,0,0
NzlLkqZvx,"转发理由:#微博辟谣# 保定网警公布打击整治网络谣言三起典型案例  
原始用户: 保定网警
转发内容: #保定[超话]##净网2023##拒绝网络谣言清朗网络环境# 【重拳出击，清朗网络空间——保定网警公布打击整治网络谣言三起典型案例】为有效净化网络环境，依法严厉打击网络谣言，始终保持对网络谣言严打高压态势，构建和谐清朗的网络空间。保定公安机关快速反应、迅速行动，坚持依法打击和综合整治相结合，全力守护网络空间的清朗安宁，现公布3起典型案例：一、清苑公安机关依法查处石某某编造“保定的黑恶势力，有刀有枪”网络谣言案件。2023年11月20日，清苑网民石某某只是为了蹭热点，博取流量增长粉丝量，便在网络平台上发布视频，内容为：保定的黑恶势力，有刀有枪。”该视频被多次转发，引发公众热议，造成恶劣影响。经清苑公安机关依法调查，石某某对自己虚构事件扰乱社会秩序的违法行为供认不讳。目前，清苑公安机关已依法对石某某处以行政处罚。二、满城公安机关依法查处高某某编造“从即日起家中禁止用煤取暖，用柴烧水，用柴做饭，家中禁止焚烧树叶，村里村外禁止点火冒烟，一经发现拘留15天，罚款2000元”网络谣言案件。2023年12月4日，满城网民高某某只是为了蹭热点，博取流量增长粉丝量，便在网络平台上发布，内容为：“从即日起家中禁止用煤取暖，用柴烧水，用柴做饭，家中禁止焚烧树叶，村里村外禁止点火冒烟，无人机全天24小时巡查，一经发现拘留15天，罚款2000元”等信息，该信息被多次转发，引发公众热议，造成恶劣影响。满城公安机关依法调查，高某某对自己虚构事件扰乱社会秩序的违法行为供认不讳。目前，满城公安机关已依法对高某某处行政拘留七日处罚。三、满城、白沟新城公安机关依法查处王某某、苑某某编造“满城南外环地道桥多车连撞”网络谣言案件。12月16日,满城网民王某某、白沟网民苑某某为了蹭热点，博取流量增长粉丝量，便在网络平台上发布，内容为：“今早满城南外环地道桥多车连撞，路面结冰+大雾，大家小心开车”该视频被多次转发，引发公众热议，造成恶劣影响。经满城、白沟新城公安机关依法调查，王某某、苑某某对各自虚构事件扰乱社会秩序的违法行为供认不讳。目前，公安机关已依法对王某某、苑某某处以行政拘留处罚。 保定网警提醒广大群众，打击网络谣言，需要大家共同努力。希望广大网民自觉规范个人网上言行，做到“不信谣、不传谣、不造谣”。针对恶意编造、传播谣言扰乱社会秩序、影响社会治安的不法行为，公安机关将从严依法查处，对构成犯罪的，将依法追究刑事责任。 [组图共3张] 原图 ",,无,"http://ww3.sinaimg.cn/large/006aVFMzly1hl84dvoxc4j307k0bcwhf.jpg,http://ww3.sinaimg.cn/large/006aVFMzly1hl84e2gfjxj307w077js9.jpg,http://ww1.sinaimg.cn/large/006aVFMzly1hl84e5scb1j306f089taf.jpg",False,无,无,2023-12-29 11:46,微博网页版,4,0,0
NzlFIC9Jn,"转发理由:#微博辟谣# 乐清警方快速查处一起散布谣言案件  
原始用户: 乐清公安
转发内容: 【乐清警方快速查处一起散布谣言案件】近日，乐清网民林某在某短视频平台发布“经开区十七路一天8次事故”的信息，迅速引发网民关注和议论。乐清公安网安部门迅速进行核查，经核实，此信息系谣言。经调查，林某为博人眼球、吸引流量，将在微信群里道听途说的信息进行掐头去尾，擅自发布，造成不良社会影响。目前，林某已被公安机关依法予以行政处罚。警方提醒：网络不是法外之地，对于编造、散布谣言，扰乱公共秩序的违法行为，公安机关将依法查处。请广大网民不造谣、不信谣、不传谣，共同维护健康清朗的网络环境。 原图 ",,无,https://wx4.sinaimg.cn/large/71d15954ly1hladm1fo9rj21bc0zigru.jpg,False,无,无,2023-12-29 11:32,微博网页版,1,0,0
NzlAIxhIJ,"转发理由:#微博辟谣# 医生免费为患者手术后被停薪留职？不实！  
原始用户: 沧州网警
转发内容: 发布了头条文章：《医生免费为患者手术后被停薪留职？不实！》  医生免费为患者手术后被停薪留职？不实！  ",,无,无,False,无,无,2023-12-29 11:20,微博网页版,0,0,0
